edge2,edge1,id,Year
22454,59048,59048,2017
2754,59048,59048,2017
52733,59048,59048,2017
55548,59048,59048,2017
3787,59048,59048,2017
23188,59048,59048,2017
55665,59048,59048,2017
52888,59048,59048,2017
68313,59054,59054,2017
42338,59054,59054,2017
22577,59054,59054,2017
55732,59054,59054,2017
55771,59054,59054,2017
22250,59054,59054,2017
21593,59054,59054,2017
43656,59054,59054,2017
52535,59054,59054,2017
1422,59054,59054,2017
6864,59054,59054,2017
59313,59054,59054,2017
21793,59054,59054,2017
21522,59054,59054,2017
52621,59061,59061,2017
53836,59061,59061,2017
3994,59061,59061,2017
22768,59061,59061,2017
22004,59061,59061,2017
3107,59061,59061,2017
23501,59061,59061,2017
59957,59061,59061,2017
22700,59061,59061,2017
22328,59061,59061,2017
20934,59061,59061,2017
53467,59061,59061,2017
53635,59061,59061,2017
55541,59061,59061,2017
22397,59061,59061,2017
4190,59061,59061,2017
22085,59061,59061,2017
55768,59061,59061,2017
42791,59100,59100,2013
4178,59100,59100,2013
53760,59100,59100,2013
3147,59100,59100,2013
21903,59100,59100,2013
3388,59100,59100,2013
3639,59100,59100,2013
3794,59100,59100,2013
3638,59100,59100,2013
3246,59100,59100,2013
55591,59100,59100,2013
51665,59100,59100,2013
22332,59100,59100,2013
3465,59100,59100,2013
4015,59103,59103,2013
3106,59103,59103,2013
4208,59103,59103,2013
37974,59103,59103,2013
